,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
45,2025-02-28 20:48:32+00:00,420.0,0.82,0.8,0.87,0.15999997,24.242418,83,1030,0.6999541723632813,False,REGULAR,USD
46,2025-02-28 20:17:17+00:00,425.0,0.74,0.74,0.8,0.13999999,23.33333,30,676,0.7082548706054688,False,REGULAR,USD
47,2025-02-28 20:54:30+00:00,430.0,0.7,0.68,0.75,0.13999999,24.999996,91,346,0.7172879833984375,False,REGULAR,USD
48,2025-02-28 20:30:17+00:00,435.0,0.7,0.64,0.7,0.17000002,32.075478,11,122,0.7268093725585938,False,REGULAR,USD
49,2025-02-28 18:33:10+00:00,440.0,0.63,0.59,0.66,0.120000005,23.529413,73,407,0.7355983471679688,False,REGULAR,USD
50,2025-02-28 19:55:03+00:00,445.0,0.55,0.55,0.61,0.100000024,22.222229,10,912,0.7434107690429688,False,REGULAR,USD
51,2025-02-28 20:46:00+00:00,450.0,0.52,0.52,0.58,0.049999982,10.638294,317,2499,0.7534204345703125,False,REGULAR,USD
52,2025-02-28 19:38:38+00:00,455.0,0.43,0.49,0.55,0.01000002,2.3809574,22,541,0.762697685546875,False,REGULAR,USD
53,2025-02-28 17:22:08+00:00,460.0,0.47,0.46,0.52,0.06999999,17.499998,9,742,0.77148666015625,False,REGULAR,USD
54,2025-02-28 20:33:44+00:00,465.0,0.45,0.43,0.49,0.07999998,21.621616,298,362,0.7797873583984375,False,REGULAR,USD
55,2025-02-28 20:27:17+00:00,470.0,0.4,0.39,0.46,0.050000012,14.285718,19,176,0.7856466748046875,False,REGULAR,USD
56,2025-02-28 15:49:19+00:00,475.0,0.39,0.38,0.44,0.06999999,21.874998,3,147,0.795900478515625,False,REGULAR,USD
57,2025-02-28 19:40:01+00:00,480.0,0.37,0.36,0.42,0.06999999,23.33333,7,155,0.804689453125,False,REGULAR,USD
58,2025-02-27 15:28:47+00:00,485.0,0.27,0.34,0.39,-0.060000002,-18.181818,1,107,0.8115253222656249,False,REGULAR,USD
59,2025-02-28 17:39:43+00:00,490.0,0.31,0.31,0.37,0.050000012,19.230774,3,82,0.8173846386718748,False,REGULAR,USD
60,2025-02-28 17:56:24+00:00,495.0,0.27,0.29,0.36,-0.00999999,-3.571425,6,196,0.8261736132812498,False,REGULAR,USD
61,2025-02-28 20:33:44+00:00,500.0,0.29,0.28,0.34,0.030000001,11.538463,194,901,0.8339860351562498,False,REGULAR,USD
62,2025-02-27 15:50:27+00:00,505.0,0.22,0.25,0.32,0.0,0.0,2,36,0.8383805224609374,False,REGULAR,USD
63,2025-02-28 16:49:37+00:00,510.0,0.25,0.24,0.3,0.049999997,24.999998,10,102,0.8457046679687499,False,REGULAR,USD
64,2025-02-27 20:12:35+00:00,515.0,0.18,0.23,0.29,0.0,0.0,2,38,0.8535170898437501,False,REGULAR,USD
65,2025-02-28 15:40:15+00:00,520.0,0.24,0.21,0.27,0.06999999,41.176464,9,38,0.8579115771484375,False,REGULAR,USD
66,2025-02-27 15:15:01+00:00,525.0,0.14,0.2,0.26,0.0,0.0,3,39,0.8652357226562499,False,REGULAR,USD
67,2025-02-28 17:58:35+00:00,530.0,0.19,0.18,0.25,-0.010000005,-5.000003,5,65,0.870118486328125,False,REGULAR,USD
68,2025-02-28 20:59:26+00:00,535.0,0.21,0.17,0.22,0.049999997,31.25,22,44,0.8720715917968749,False,REGULAR,USD
69,2025-02-26 15:39:54+00:00,540.0,0.15,0.16,0.21,-0.030000001,-16.666668,1,30,0.8789074609374999,False,REGULAR,USD
70,2025-02-25 15:56:20+00:00,545.0,0.19,0.15,0.19,0.0,0.0,1,25,0.8808605664062499,False,REGULAR,USD
71,2025-02-28 16:16:41+00:00,550.0,0.19,0.14,0.19,0.07,58.333336,30,114,0.8896495410156249,False,REGULAR,USD
72,2025-02-28 16:27:32+00:00,555.0,0.17,0.13,0.18,0.019999996,13.333329,1,16,0.8945323046874999,False,REGULAR,USD
73,2025-02-25 19:44:11+00:00,560.0,0.18,0.12,0.17,0.040000007,28.571432,20,14,0.8984385156249999,False,REGULAR,USD
74,2025-02-27 15:19:45+00:00,565.0,0.14,0.11,0.16,0.0,0.0,1,7,0.9023447265625,False,REGULAR,USD
75,2025-02-26 18:44:40+00:00,570.0,0.1,0.11,0.15,0.0,0.0,10,16,0.9082040429687499,False,REGULAR,USD
76,2025-02-28 20:46:41+00:00,575.0,0.13,0.1,0.14,-0.02000001,-13.33334,2,6,0.91211025390625,False,REGULAR,USD
77,2025-02-26 20:51:32+00:00,580.0,0.09,0.09,0.14,0.0,0.0,5,19,0.9179695703125,False,REGULAR,USD
78,2025-02-28 15:10:21+00:00,585.0,0.11,0.09,0.13,0.009999998,9.999998,1,7,0.9238288867187501,False,REGULAR,USD
79,2025-02-28 17:49:02+00:00,590.0,0.1,0.08,0.12,0.009999998,11.111108,49,36,0.9238288867187501,False,REGULAR,USD
80,2025-02-27 16:23:53+00:00,600.0,0.1,0.07,0.11,-0.009999998,-9.090907,1,104,0.9335944140625,False,REGULAR,USD
81,2025-02-28 16:23:06+00:00,610.0,0.09,0.06,0.1,0.040000003,80.00001,1,68,0.9414068359375,False,REGULAR,USD
82,2025-02-26 20:17:06+00:00,620.0,0.05,0.04,0.09,0.0,0.0,44,63,0.9414068359375,False,REGULAR,USD
83,2025-02-26 15:28:11+00:00,630.0,0.08,0.03,0.08,0.0,0.0,1,12,0.945313046875,False,REGULAR,USD
