,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
37,2025-02-28 20:08:53+00:00,350.0,61.0,59.6,61.05,-10.0,-14.084508,67.0,1043,0.5711712805175782,True,REGULAR,USD
38,2025-02-28 16:43:02+00:00,355.0,66.0,63.05,65.55,-9.300003,-12.350601,42.0,378,0.5408981457519533,True,REGULAR,USD
39,2025-02-28 19:47:07+00:00,360.0,73.1,68.25,70.85,-4.9800034,-6.3780775,13.0,372,0.5845988806152342,True,REGULAR,USD
40,2025-02-28 17:34:44+00:00,365.0,74.44,72.15,75.35,-6.7599945,-8.325116,112.0,250,0.5559126440429689,True,REGULAR,USD
41,2025-02-28 16:43:23+00:00,370.0,78.56,76.3,80.4,-10.630005,-11.918382,10.0,398,0.5473678076171876,True,REGULAR,USD
42,2025-02-28 20:29:27+00:00,375.0,83.42,81.2,84.7,-10.520004,-11.198642,116.0,223,0.5305222729492188,True,REGULAR,USD
43,2025-02-28 19:15:52+00:00,380.0,96.82,86.05,89.85,-1.5999985,-1.6256843,45.0,130,0.5524947094726562,True,REGULAR,USD
44,2025-02-28 20:26:12+00:00,385.0,95.5,90.8,94.55,-7.8700027,-7.61343,8.0,98,0.5383346948242189,True,REGULAR,USD
45,2025-02-28 20:35:59+00:00,390.0,100.69,95.55,99.4,-7.3899994,-6.837527,8.0,149,0.5256395092773438,True,REGULAR,USD
46,2025-02-28 20:35:59+00:00,395.0,105.53,100.55,104.3,0.5499954,0.5239049,28.0,71,0.5346726220703125,True,REGULAR,USD
47,2025-02-28 19:09:01+00:00,400.0,116.25,105.5,109.2,6.0999985,5.5379014,34.0,103,0.5366257275390626,True,REGULAR,USD
48,2025-02-28 15:07:46+00:00,405.0,122.78,110.2,114.35,6.2299957,5.3453417,9.0,70,0.5346726220703125,True,REGULAR,USD
49,2025-02-28 18:58:51+00:00,410.0,120.97,115.1,119.05,-5.959999,-4.695501,47.0,372,0.7895528857421875,True,REGULAR,USD
50,2025-02-27 19:38:50+00:00,415.0,131.05,120.35,124.25,0.0,0.0,2.0,29,0.5751995605468749,True,REGULAR,USD
51,2025-02-28 18:24:50+00:00,420.0,131.6,125.2,129.2,-5.8600006,-4.2630587,13.0,46,0.5585981640625001,True,REGULAR,USD
52,2025-02-27 19:17:30+00:00,425.0,137.5,129.95,134.1,-2.5,-1.7857144,2.0,44,0.8562026098632812,True,REGULAR,USD
53,2025-02-28 18:15:54+00:00,430.0,146.2,134.9,138.85,2.1699982,1.5066293,6.0,0,0.8531508825683594,True,REGULAR,USD
54,2025-02-26 15:27:06+00:00,435.0,136.75,140.1,144.05,0.0,0.0,1.0,0,0.5312546875,True,REGULAR,USD
55,2025-02-26 18:55:35+00:00,440.0,149.71,144.85,149.05,2.1399994,1.4501587,1.0,0,0.9107674938964843,True,REGULAR,USD
56,2025-02-27 14:39:11+00:00,445.0,148.3,150.05,154.0,0.0,0.0,4.0,0,0.9250495776367188,True,REGULAR,USD
57,2025-02-28 16:35:38+00:00,450.0,160.4,154.9,158.8,-7.180008,-4.284526,16.0,1,0.9235847485351563,True,REGULAR,USD
58,2025-02-28 15:24:37+00:00,455.0,163.2,159.85,163.95,61.1,59.84329,2.0,0,0.9570316796874999,True,REGULAR,USD
59,2025-02-27 19:22:42+00:00,460.0,174.02,164.85,168.95,0.0,0.0,1.0,0,0.9748537670898438,True,REGULAR,USD
60,2025-02-24 20:12:26+00:00,465.0,131.73,169.85,173.9,0.0,0.0,1.0,0,0.9875489526367188,True,REGULAR,USD
61,2025-02-25 20:09:27+00:00,480.0,178.87,184.95,188.95,0.0,0.0,4.0,0,1.0440721624755862,True,REGULAR,USD
62,2025-02-11 20:03:51+00:00,485.0,155.07,189.8,193.95,0.0,0.0,,0,1.0607957116699218,True,REGULAR,USD
63,2025-02-13 16:12:01+00:00,490.0,136.3,194.95,198.95,0.0,0.0,2.0,0,1.0771530517578127,True,REGULAR,USD
64,2025-02-10 15:37:06+00:00,495.0,136.15,199.95,203.95,0.0,0.0,,0,1.0932662524414063,True,REGULAR,USD
65,2025-02-21 15:44:16+00:00,500.0,155.0,204.95,208.95,0.0,0.0,3.0,0,1.109379453125,True,REGULAR,USD
66,2025-02-10 14:48:18+00:00,505.0,154.15,209.95,213.95,0.0,0.0,,0,1.125004375,True,REGULAR,USD
67,2025-02-10 14:46:03+00:00,510.0,157.45,214.8,218.9,0.0,0.0,,0,1.1350140905761719,True,REGULAR,USD
68,2025-02-10 14:46:10+00:00,515.0,162.45,219.8,223.9,0.0,0.0,,0,1.1501507336425782,True,REGULAR,USD
69,2025-02-10 15:02:33+00:00,520.0,163.15,224.95,228.95,0.0,0.0,,0,1.1709025830078126,True,REGULAR,USD
70,2025-02-10 16:05:38+00:00,550.0,189.55,254.95,258.95,0.0,0.0,,0,1.2578162109375,True,REGULAR,USD
