,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration
37,2025-02-28 20:59:59+00:00,340.0,0.78,0.77,0.79,0.15999997,25.806444,10368.0,8391,0.6914093359375001,False,REGULAR,USD,call,2025-03-07,6
38,2025-02-28 20:59:59+00:00,342.5,0.7,0.66,0.7,0.13999999,24.999996,1496.0,1651,0.6967803759765626,False,REGULAR,USD,call,2025-03-07,6
39,2025-02-28 20:59:58+00:00,345.0,0.6,0.59,0.63,0.09000003,17.647066,3203.0,3282,0.7065459033203125,False,REGULAR,USD,call,2025-03-07,6
40,2025-02-28 20:59:41+00:00,347.5,0.56,0.53,0.58,0.099999994,21.739128,394.0,985,0.7172879833984375,False,REGULAR,USD,call,2025-03-07,6
41,2025-02-28 20:59:44+00:00,350.0,0.5,0.47,0.5,0.06999999,16.279068,8909.0,11298,0.7226590234375,False,REGULAR,USD,call,2025-03-07,6
42,2025-02-28 20:59:45+00:00,352.5,0.46,0.43,0.48,0.08000001,21.052635,736.0,1155,0.737307314453125,False,REGULAR,USD,call,2025-03-07,6
43,2025-02-28 20:59:27+00:00,355.0,0.43,0.39,0.43,0.06999999,19.444443,2369.0,5080,0.7460962890625,False,REGULAR,USD,call,2025-03-07,6
44,2025-02-28 20:51:50+00:00,357.5,0.36,0.35,0.39,0.01000002,2.8571486,773.0,1098,0.754885263671875,False,REGULAR,USD,call,2025-03-07,6
45,2025-02-28 20:59:41+00:00,360.0,0.35,0.33,0.35,0.03999999,12.903222,4073.0,4762,0.7656273437500001,False,REGULAR,USD,call,2025-03-07,6
46,2025-02-28 20:59:31+00:00,362.5,0.33,0.3,0.35,0.04000002,13.793111,2058.0,1636,0.7812521875,False,REGULAR,USD,call,2025-03-07,6
47,2025-02-28 20:58:49+00:00,365.0,0.3,0.28,0.31,0.04000002,15.3846245,1532.0,3365,0.7895528857421875,False,REGULAR,USD,call,2025-03-07,6
48,2025-02-28 20:59:31+00:00,367.5,0.3,0.26,0.31,0.050000012,20.000004,644.0,2384,0.805666005859375,False,REGULAR,USD,call,2025-03-07,6
49,2025-02-28 20:59:42+00:00,370.0,0.27,0.24,0.29,0.060000017,28.571438,4252.0,3980,0.8164080859374999,False,REGULAR,USD,call,2025-03-07,6
50,2025-02-28 20:54:34+00:00,372.5,0.24,0.23,0.27,0.00999999,4.3478217,1112.0,717,0.8291032714843749,False,REGULAR,USD,call,2025-03-07,6
